Q1_What is your age (# years)?;Q4_What is the highest level of formal education that you have attained or plan to attain within the next 2 years?;Q5_Select the title most similar to your current role;Q6_For how many years have you been writing code and/or programming?;Q8_What programming language would you recommend an aspiring data scientist to learn first?;Q13_Approximately how many times have you used a TPU (tensor processing unit)?;Q15_For how many years have you used machine learning methods?;Q20_What is the size of the company where you are employed?;Q22_Does your current employer incorporate machine learning methods into their business?;Q24_What is your current yearly compensation (approximate $USD)?;Q30_Which of the following big data products (relational database, data warehouse, data lake, or similar) do you use most often?;Q32_Which of the following business intelligence tools do you use most often?;Q7_No. of Regular used programming languages?;Q9_No. of Specialized IDE?;Q14_No. of DataViz Libs or Tools?;Q16_No. of ML Framworks?;Q17_No. of ML algorithms?;Q18_No. of Computer Vsion methods?;Q19_No. of NLP methods?;Q26_A No. of Current Cloud platforms?;Q27_A No. of Current Cloud Products?;Q28_A No. of Current ML products?;Q29_A No. of Big Data Tools?;Q31_A No. of BI Tools used?;Q33_A No. of Automted ML Tools?;Q34_A No. of Auto ML Tools?;Q35_A No. of ML Experiment Management?;Q37_No. of Learning Platforms?
60-69;Doctoral degree;Data Scientist;20+ years;Python;Never;Under 1 year;50-249 employees;We are exploring ML methods (and may one day put a model into production);60,000-69,999;MongoDB ;z_Not selected;5;2;3;1;2;0;0;1;1;1;2;1;1;0;1;2
35-39;Doctoral degree;Software Engineer;20+ years;Python;Never;1-2 years;50-249 employees;No (we do not use ML methods);$0-999;z_Not selected;z_Not selected;3;2;3;4;4;0;0;0;0;0;0;0;0;0;0;0
22-24;Bachelor’s degree;Data Analyst;3-5 years;Python;Once;1-2 years;0-49 employees;We are exploring ML methods (and may one day put a model into production);$0-999;z_Not selected;z_Not selected;2;3;2;4;3;0;0;0;0;0;0;0;0;0;0;3
18-21;Master’s degree;Data Scientist;< 1 years;Python;Never;Under 1 year;0-49 employees;We are exploring ML methods (and may one day put a model into production);$0-999;z_Not selected;z_Not selected;3;3;2;4;7;3;2;0;0;0;0;0;0;0;0;3
25-29;Professional degree;Data Analyst;< 1 years;SQL;Never;I do not use machine learning methods;0-49 employees;z_Not selected;z_Not selected;z_Not selected;z_Not selected;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
30-34;Professional degree;Software Engineer;5-10 years;Python;Never;I do not use machine learning methods;0-49 employees;No (we do not use ML methods);$0-999;z_Not selected;z_Not selected;6;5;2;0;0;0;0;1;1;1;1;0;1;0;1;2
35-39;Master’s degree;Software Engineer;20+ years;Python;Never;2-3 years;250-999 employees;We have well established ML methods (i.e., models in production for more than 2 years);$0-999;z_Not selected;z_Not selected;3;2;1;3;3;0;0;0;0;0;0;0;0;0;0;2
25-29;Master’s degree;Data Scientist;3-5 years;Python;2-5 times;2-3 years;0-49 employees;I do not know;$0-999;z_Not selected;z_Not selected;1;2;3;3;5;0;0;0;0;0;0;0;0;0;0;3
22-24;Master’s degree;Data Scientist;3-5 years;Python;Never;1-2 years;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
30-34;Bachelor’s degree;Data Scientist;10-20 years;R;Once;5-10 years;1000-9,999 employees;We recently started using ML methods (i.e., models in production for less than 2 years);50,000-59,999;PostgresSQL ;z_Not selected;4;2;4;2;5;0;1;1;1;1;3;1;1;0;1;1
35-39;Bachelor’s degree;Data Scientist;5-10 years;SQL;Never;Under 1 year;1000-9,999 employees;We recently started using ML methods (i.e., models in production for less than 2 years);30,000-39,999;z_Not selected;Google Data Studio;1;2;0;0;0;0;0;1;1;1;0;3;1;0;1;1
70+;Doctoral degree;Data Scientist;20+ years;Python;6-25 times;20 or more years;10,000 or more employees;We have well established ML methods (i.e., models in production for more than 2 years);40,000-49,999;z_Not selected;z_Not selected;5;1;1;3;4;5;0;2;2;1;1;0;1;0;2;0
40-44;Doctoral degree;Data Scientist;20+ years;Python;Never;20 or more years;250-999 employees;We use ML methods for generating insights (but do not put working models into production);60,000-69,999;z_Not selected;z_Not selected;4;1;1;2;3;0;0;0;0;0;1;0;1;0;1;1
30-34;Bachelor’s degree;Data Scientist;3-5 years;Python;Once;Under 1 year;0-49 employees;We are exploring ML methods (and may one day put a model into production);$0-999;z_Not selected;Microsoft Power BI;3;2;3;3;2;0;0;3;2;1;1;2;1;0;1;5
25-29;Master’s degree;Data Scientist;5-10 years;Python;Once;3-4 years;1000-9,999 employees;We are exploring ML methods (and may one day put a model into production);40,000-49,999;z_Not selected;z_Not selected;7;4;4;4;7;2;1;0;0;0;0;0;0;0;0;1
30-34;Master’s degree;Software Engineer;10-20 years;Python;Never;I do not use machine learning methods;0-49 employees;We are exploring ML methods (and may one day put a model into production);60,000-69,999;z_Not selected;z_Not selected;3;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0
22-24;Master’s degree;Data Analyst;1-2 years;Python;Never;1-2 years;50-249 employees;We use ML methods for generating insights (but do not put working models into production);1,000-1,999;z_Not selected;z_Not selected;2;1;5;3;2;0;0;0;0;0;0;0;0;0;0;0
25-29;Professional degree;Data Analyst;1-2 years;Python;2-5 times;1-2 years;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;2;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0
55-59;Bachelor’s degree;Software Engineer;20+ years;Python;Once;Under 1 year;0-49 employees;We are exploring ML methods (and may one day put a model into production);4,000-4,999;z_Not selected;z_Not selected;3;3;4;4;4;2;0;1;1;1;0;0;1;0;1;4
30-34;Bachelor’s degree;Software Engineer;10-20 years;Python;Never;5-10 years;10,000 or more employees;We have well established ML methods (i.e., models in production for more than 2 years);70,000-79,999;Microsoft SQL Server ;z_Not selected;4;2;1;1;4;0;0;1;2;1;2;1;1;0;1;2
25-29;Master’s degree;Data Scientist;1-2 years;R;Never;1-2 years;50-249 employees;We recently started using ML methods (i.e., models in production for less than 2 years);5,000-7,499;z_Not selected;z_Not selected;2;2;6;4;4;0;0;2;1;1;1;0;1;0;1;4
25-29;Bachelor’s degree;Data Scientist;5-10 years;Python;Never;2-3 years;10,000 or more employees;We recently started using ML methods (i.e., models in production for less than 2 years);15,000-19,999;MySQL ;Qlik;4;7;5;4;3;0;0;1;1;1;2;3;1;1;1;1
22-24;Master’s degree;Data Scientist;< 1 years;Python;Never;1-2 years;0-49 employees;I do not know;z_Not selected;z_Not selected;z_Not selected;3;2;2;4;5;2;0;0;0;0;0;0;0;0;0;0
25-29;Master’s degree;Data Scientist;3-5 years;Python;Never;1-2 years;0-49 employees;We are exploring ML methods (and may one day put a model into production);$0-999;z_Not selected;z_Not selected;2;1;1;1;3;0;0;0;0;0;1;1;1;0;1;5
45-49;I prefer not to answer;Data Analyst;20+ years;Python;Never;5-10 years;50-249 employees;I do not know;1,000-1,999;Oracle Database ;z_Not selected;3;4;3;1;5;0;0;1;0;0;3;0;1;0;1;1
45-49;Master’s degree;Software Engineer;20+ years;Python;Never;4-5 years;10,000 or more employees;I do not know;20,000-24,999;Amazon Redshift ;z_Not selected;6;5;3;4;3;2;0;2;3;1;4;0;1;0;1;1
25-29;Bachelor’s degree;Software Engineer;3-5 years;Python;Never;Under 1 year;0-49 employees;We are exploring ML methods (and may one day put a model into production);5,000-7,499;z_Not selected;z_Not selected;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2
22-24;No formal education past high school;Data Scientist;< 1 years;Python;2-5 times;Under 1 year;0-49 employees;I do not know;$0-999;z_Not selected;z_Not selected;1;1;1;3;4;1;0;0;0;0;0;0;0;0;0;2
40-44;Bachelor’s degree;Data Analyst;1-2 years;Python;Never;Under 1 year;0-49 employees;We use ML methods for generating insights (but do not put working models into production);60,000-69,999;Amazon Athena ;Tableau;4;3;4;1;3;0;0;1;1;1;3;2;1;0;1;5
25-29;Master’s degree;Data Analyst;3-5 years;SQL;Never;1-2 years;50-249 employees;I do not know;60,000-69,999;z_Not selected;Microsoft Power BI;2;3;2;1;2;0;0;1;2;1;1;2;1;0;1;4
25-29;Master’s degree;Data Scientist;5-10 years;Python;Never;4-5 years;0-49 employees;We have well established ML methods (i.e., models in production for more than 2 years);25,000-29,999;z_Not selected;z_Not selected;1;2;3;3;3;4;2;2;2;1;0;0;1;1;1;3
22-24;Bachelor’s degree;Data Analyst;3-5 years;R;Never;1-2 years;10,000 or more employees;We have well established ML methods (i.e., models in production for more than 2 years);40,000-49,999;z_Not selected;z_Not selected;4;1;2;0;1;0;0;1;1;1;0;0;1;0;1;4
50-54;Master’s degree;Software Engineer;10-20 years;Python;Never;1-2 years;0-49 employees;We recently started using ML methods (i.e., models in production for less than 2 years);10,000-14,999;MySQL ;Tableau;3;2;2;4;5;1;0;1;3;1;3;2;1;0;1;1
25-29;Bachelor’s degree;Data Analyst;1-2 years;Python;Once;1-2 years;50-249 employees;We use ML methods for generating insights (but do not put working models into production);1,000-1,999;Google Cloud SQL ;z_Not selected;2;2;4;3;2;0;0;1;3;1;3;1;1;1;1;7
22-24;Master’s degree;Software Engineer;3-5 years;R;2-5 times;Under 1 year;10,000 or more employees;I do not know;15,000-19,999;Microsoft SQL Server ;Salesforce;5;7;6;1;1;0;0;4;1;1;4;5;1;0;1;8
22-24;Bachelor’s degree;Data Scientist;1-2 years;Python;2-5 times;Under 1 year;0-49 employees;We recently started using ML methods (i.e., models in production for less than 2 years);1,000-1,999;z_Not selected;z_Not selected;2;3;2;3;5;3;0;1;1;1;0;0;1;0;1;1
30-34;Master’s degree;Data Scientist;5-10 years;Python;Never;3-4 years;0-49 employees;We have well established ML methods (i.e., models in production for more than 2 years);25,000-29,999;MySQL ;Tableau;5;4;4;7;7;3;4;3;1;1;5;2;3;1;1;4
35-39;Master’s degree;Data Scientist;5-10 years;SQL;Never;4-5 years;250-999 employees;We use ML methods for generating insights (but do not put working models into production);90,000-99,999;z_Not selected;z_Not selected;2;1;1;2;3;0;0;0;0;0;0;0;0;0;0;3
22-24;Bachelor’s degree;Data Scientist;1-2 years;Python;Never;1-2 years;0-49 employees;We are exploring ML methods (and may one day put a model into production);$0-999;PostgresSQL ;Tableau;2;3;4;8;5;0;0;1;2;1;5;2;1;0;1;2
35-39;Bachelor’s degree;Software Engineer;10-20 years;Python;2-5 times;5-10 years;10,000 or more employees;I do not know;90,000-99,999;z_Not selected;z_Not selected;3;3;1;3;5;2;3;0;0;0;0;0;0;0;0;4
18-21;Bachelor’s degree;Data Scientist;3-5 years;Python;Never;Under 1 year;0-49 employees;We are exploring ML methods (and may one day put a model into production);$0-999;z_Not selected;z_Not selected;1;5;3;5;6;1;1;1;1;2;1;1;3;1;3;6
22-24;Master’s degree;Data Scientist;1-2 years;Python;Never;Under 1 year;50-249 employees;We have well established ML methods (i.e., models in production for more than 2 years);$0-999;z_Not selected;z_Not selected;2;1;2;1;4;0;0;0;0;0;0;0;0;0;0;2
30-34;Master’s degree;Data Scientist;10-20 years;Python;Never;2-3 years;0-49 employees;I do not know;100,000-124,999;z_Not selected;z_Not selected;2;4;3;4;2;2;0;0;0;0;0;0;0;0;0;3
25-29;Master’s degree;Data Scientist;10-20 years;Python;2-5 times;4-5 years;10,000 or more employees;We have well established ML methods (i.e., models in production for more than 2 years);150,000-199,999;z_Not selected;z_Not selected;2;3;4;1;4;0;0;0;0;0;0;0;0;0;0;2
25-29;Master’s degree;Data Analyst;5-10 years;Python;Never;Under 1 year;0-49 employees;We use ML methods for generating insights (but do not put working models into production);15,000-19,999;z_Not selected;z_Not selected;2;2;2;3;3;0;0;0;0;0;0;0;0;0;0;1
35-39;Doctoral degree;Data Scientist;5-10 years;Python;Once;4-5 years;250-999 employees;We recently started using ML methods (i.e., models in production for less than 2 years);1,000-1,999;Microsoft Azure Data Lake Storage ;z_Not selected;2;2;4;5;6;4;3;2;5;3;6;1;2;2;1;1
40-44;Bachelor’s degree;Data Analyst;1-2 years;Python;2-5 times;1-2 years;250-999 employees;We recently started using ML methods (i.e., models in production for less than 2 years);70,000-79,999;z_Not selected;z_Not selected;4;3;1;1;3;0;0;2;3;1;0;1;1;1;1;4
30-34;Bachelor’s degree;Data Analyst;< 1 years;Python;Never;Under 1 year;250-999 employees;I do not know;25,000-29,999;z_Not selected;z_Not selected;2;1;2;1;2;0;0;1;0;0;1;0;0;0;0;0
35-39;Master’s degree;Data Scientist;10-20 years;Python;Never;3-4 years;250-999 employees;We recently started using ML methods (i.e., models in production for less than 2 years);30,000-39,999;z_Not selected;z_Not selected;4;3;3;3;2;0;0;3;1;1;1;0;1;0;1;5
22-24;Bachelor’s degree;Software Engineer;3-5 years;Python;2-5 times;1-2 years;0-49 employees;We recently started using ML methods (i.e., models in production for less than 2 years);50,000-59,999;Amazon DynamoDB ;z_Not selected;5;2;4;2;2;3;0;2;2;1;5;0;1;0;1;1
25-29;Master’s degree;Data Analyst;3-5 years;Python;Never;Under 1 year;0-49 employees;No (we do not use ML methods);50,000-59,999;z_Not selected;z_Not selected;3;3;4;0;2;0;0;1;1;1;1;1;1;0;1;3
40-44;Master’s degree;Data Analyst;< 1 years;SQL;Never;Under 1 year;10,000 or more employees;I do not know;100,000-124,999;z_Not selected;z_Not selected;1;2;0;0;0;0;0;1;1;1;1;0;1;0;1;3
18-21;Bachelor’s degree;Data Scientist;3-5 years;Python;Never;3-4 years;0-49 employees;We are exploring ML methods (and may one day put a model into production);2,000-2,999;z_Not selected;z_Not selected;3;4;3;4;2;0;0;0;0;0;0;0;1;0;1;0
22-24;Master’s degree;Data Analyst;3-5 years;Python;Once;2-3 years;10,000 or more employees;I do not know;2,000-2,999;MySQL ;Tableau;3;3;3;2;6;1;0;3;3;1;3;2;1;1;1;0
30-34;Master’s degree;Data Scientist;3-5 years;Python;2-5 times;2-3 years;50-249 employees;I do not know;$0-999;z_Not selected;z_Not selected;1;1;3;2;2;2;0;2;1;1;0;0;1;0;1;2
40-44;Bachelor’s degree;Data Analyst;5-10 years;SQL;Never;I do not use machine learning methods;1000-9,999 employees;I do not know;$0-999;z_Not selected;z_Not selected;2;0;0;0;0;0;0;0;0;0;1;1;1;0;1;3
30-34;Master’s degree;Data Scientist;3-5 years;Python;Never;2-3 years;250-999 employees;We recently started using ML methods (i.e., models in production for less than 2 years);90,000-99,999;z_Not selected;z_Not selected;3;2;1;3;3;0;0;2;1;1;1;0;1;0;1;2
45-49;Master’s degree;Data Scientist;3-5 years;Python;Never;3-4 years;10,000 or more employees;We have well established ML methods (i.e., models in production for more than 2 years);125,000-149,999;z_Not selected;z_Not selected;3;3;3;2;3;0;0;0;0;0;0;0;0;0;0;4
35-39;Doctoral degree;Data Scientist;20+ years;R;2-5 times;4-5 years;0-49 employees;We use ML methods for generating insights (but do not put working models into production);150,000-199,999;Amazon Redshift ;z_Not selected;4;2;4;3;3;0;0;1;1;1;3;0;1;0;1;3
22-24;Professional degree;Software Engineer;3-5 years;Python;Never;1-2 years;50-249 employees;No (we do not use ML methods);$0-999;z_Not selected;z_Not selected;4;2;1;3;2;2;0;0;0;0;0;0;0;0;0;1
18-21;Bachelor’s degree;Data Analyst;1-2 years;Python;Never;I do not use machine learning methods;50-249 employees;I do not know;z_Not selected;z_Not selected;z_Not selected;3;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0
45-49;Doctoral degree;Data Scientist;20+ years;Python;Never;10-20 years;10,000 or more employees;We have well established ML methods (i.e., models in production for more than 2 years);150,000-199,999;z_Not selected;z_Not selected;2;1;2;2;4;0;0;1;1;1;1;0;1;0;1;2
40-44;Professional degree;Software Engineer;20+ years;Python;Never;I do not use machine learning methods;1000-9,999 employees;I do not know;z_Not selected;z_Not selected;z_Not selected;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45-49;Master’s degree;Data Analyst;1-2 years;Python;Never;Under 1 year;50-249 employees;We are exploring ML methods (and may one day put a model into production);40,000-49,999;z_Not selected;z_Not selected;1;1;2;1;2;0;0;0;0;0;0;0;0;0;0;1
25-29;Master’s degree;Data Scientist;3-5 years;Python;Once;1-2 years;0-49 employees;We are exploring ML methods (and may one day put a model into production);7,500-9,999;z_Not selected;Microsoft Power BI;3;3;2;5;4;2;2;1;1;1;0;2;2;1;1;3
22-24;Master’s degree;Data Analyst;< 1 years;Python;Never;Under 1 year;0-49 employees;We use ML methods for generating insights (but do not put working models into production);4,000-4,999;z_Not selected;z_Not selected;1;2;3;2;3;0;0;0;0;0;0;0;0;0;0;3
40-44;Master’s degree;Data Scientist;3-5 years;Python;Never;3-4 years;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0
18-21;Bachelor’s degree;Software Engineer;1-2 years;C;Never;Under 1 year;250-999 employees;I do not know;$0-999;z_Not selected;z_Not selected;1;3;1;2;2;0;2;0;0;0;0;0;0;0;0;0
18-21;Bachelor’s degree;Data Analyst;1-2 years;Python;Never;Under 1 year;0-49 employees;I do not know;$0-999;z_Not selected;z_Not selected;3;3;1;2;3;0;0;0;0;0;0;0;0;0;0;0
40-44;Master’s degree;Data Scientist;10-20 years;R;2-5 times;2-3 years;10,000 or more employees;We have well established ML methods (i.e., models in production for more than 2 years);40,000-49,999;Microsoft Azure Data Lake Storage ;z_Not selected;3;2;4;6;5;1;0;1;2;2;4;1;1;2;1;1
60-69;Bachelor’s degree;Data Analyst;20+ years;R;Never;Under 1 year;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18-21;Bachelor’s degree;Software Engineer;1-2 years;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25-29;Master’s degree;Data Scientist;1-2 years;Python;2-5 times;2-3 years;0-49 employees;We recently started using ML methods (i.e., models in production for less than 2 years);5,000-7,499;z_Not selected;z_Not selected;2;3;3;1;3;0;0;1;2;1;1;0;1;0;1;2
30-34;Master’s degree;Software Engineer;1-2 years;Python;Never;I do not use machine learning methods;10,000 or more employees;No (we do not use ML methods);10,000-14,999;z_Not selected;z_Not selected;1;2;0;0;0;0;0;1;1;1;0;0;1;0;1;1
30-34;Bachelor’s degree;Data Scientist;3-5 years;Python;Never;Under 1 year;50-249 employees;We are exploring ML methods (and may one day put a model into production);60,000-69,999;z_Not selected;z_Not selected;2;2;0;2;2;2;0;0;0;0;0;0;1;0;1;2
30-34;Doctoral degree;Software Engineer;3-5 years;Python;2-5 times;2-3 years;250-999 employees;We are exploring ML methods (and may one day put a model into production);70,000-79,999;z_Not selected;z_Not selected;2;2;3;3;8;4;2;1;1;1;0;0;1;1;1;2
30-34;Doctoral degree;Data Scientist;3-5 years;Python;Once;3-4 years;0-49 employees;We are exploring ML methods (and may one day put a model into production);80,000-89,999;z_Not selected;z_Not selected;3;4;1;3;3;0;0;1;0;0;1;0;1;0;1;1
30-34;Master’s degree;Data Scientist;3-5 years;R;Never;2-3 years;10,000 or more employees;We have well established ML methods (i.e., models in production for more than 2 years);70,000-79,999;z_Not selected;z_Not selected;5;5;3;3;3;0;0;0;0;0;0;0;0;0;0;3
25-29;Master’s degree;Software Engineer;3-5 years;Python;Never;I do not use machine learning methods;0-49 employees;No (we do not use ML methods);$0-999;MySQL ;Google Data Studio;4;2;0;0;0;0;0;10;10;9;16;13;6;10;9;10
40-44;Doctoral degree;Software Engineer;10-20 years;Python;Never;3-4 years;0-49 employees;I do not know;z_Not selected;z_Not selected;z_Not selected;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0
25-29;Bachelor’s degree;Software Engineer;3-5 years;C++;Never;1-2 years;50-249 employees;We use ML methods for generating insights (but do not put working models into production);15,000-19,999;z_Not selected;z_Not selected;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0
25-29;I prefer not to answer;Software Engineer;5-10 years;Python;Never;I do not use machine learning methods;0-49 employees;I do not know;10,000-14,999;z_Not selected;z_Not selected;6;3;1;0;0;0;0;1;2;1;0;0;1;0;1;0
30-34;Master’s degree;Data Analyst;3-5 years;R;Never;I do not use machine learning methods;250-999 employees;I do not know;10,000-14,999;z_Not selected;z_Not selected;3;3;3;0;0;0;0;1;1;1;1;0;1;0;1;3
30-34;Doctoral degree;Software Engineer;< 1 years;Python;2-5 times;Under 1 year;250-999 employees;No (we do not use ML methods);1,000-1,999;z_Not selected;z_Not selected;1;2;2;4;5;3;0;0;0;0;0;0;0;0;0;3
25-29;Master’s degree;Data Scientist;3-5 years;Python;Never;2-3 years;50-249 employees;We have well established ML methods (i.e., models in production for more than 2 years);50,000-59,999;z_Not selected;z_Not selected;3;3;3;5;6;0;0;0;0;0;0;0;0;0;0;3
60-69;Bachelor’s degree;Software Engineer;10-20 years;Python;Never;Under 1 year;50-249 employees;No (we do not use ML methods);20,000-24,999;Microsoft SQL Server ;z_Not selected;1;2;1;0;0;0;0;1;2;1;2;0;1;0;1;1
25-29;Master’s degree;Data Analyst;< 1 years;Python;Never;Under 1 year;1000-9,999 employees;I do not know;$0-999;z_Not selected;z_Not selected;1;3;2;0;0;0;0;1;1;1;0;1;1;0;1;1
25-29;Master’s degree;Software Engineer;< 1 years;Python;Once;1-2 years;10,000 or more employees;We have well established ML methods (i.e., models in production for more than 2 years);100,000-124,999;Amazon DynamoDB ;z_Not selected;1;4;2;3;3;3;0;1;3;1;2;1;2;1;1;4
60-69;Some college/university study without earning a bachelor’s degree;Software Engineer;20+ years;Python;2-5 times;2-3 years;10,000 or more employees;We have well established ML methods (i.e., models in production for more than 2 years);150,000-199,999;z_Not selected;z_Not selected;5;3;0;2;3;3;0;0;0;0;0;1;1;0;1;4
50-54;Master’s degree;Data Scientist;3-5 years;Python;Never;2-3 years;10,000 or more employees;We recently started using ML methods (i.e., models in production for less than 2 years);70,000-79,999;Microsoft Azure Data Lake Storage ;Microsoft Power BI;3;3;4;3;3;0;0;1;3;1;2;2;1;0;1;5
35-39;Master’s degree;Data Scientist;3-5 years;Python;Never;4-5 years;10,000 or more employees;We have well established ML methods (i.e., models in production for more than 2 years);40,000-49,999;z_Not selected;z_Not selected;2;2;1;3;2;0;0;0;0;0;0;0;0;0;0;6
35-39;Doctoral degree;Data Scientist;10-20 years;Python;Once;I do not use machine learning methods;50-249 employees;We are exploring ML methods (and may one day put a model into production);100,000-124,999;z_Not selected;z_Not selected;2;2;2;0;0;0;0;2;2;2;1;1;2;3;1;1
22-24;Bachelor’s degree;Software Engineer;3-5 years;Python;Once;4-5 years;0-49 employees;We have well established ML methods (i.e., models in production for more than 2 years);$0-999;z_Not selected;z_Not selected;3;1;1;1;5;4;1;1;1;1;1;0;1;0;1;1
30-34;Master’s degree;Data Scientist;3-5 years;Python;Never;1-2 years;0-49 employees;We have well established ML methods (i.e., models in production for more than 2 years);4,000-4,999;z_Not selected;z_Not selected;3;2;3;5;4;0;0;0;0;0;0;0;0;0;0;4
35-39;Master’s degree;Software Engineer;5-10 years;Python;Once;4-5 years;1000-9,999 employees;We have well established ML methods (i.e., models in production for more than 2 years);5,000-7,499;Amazon Athena ;z_Not selected;4;3;3;6;6;3;1;1;2;1;3;1;1;1;1;4
45-49;Doctoral degree;Software Engineer;20+ years;Python;Never;5-10 years;1000-9,999 employees;I do not know;100,000-124,999;z_Not selected;z_Not selected;5;4;1;0;0;0;0;0;0;0;0;0;1;0;1;0
22-24;Bachelor’s degree;Data Scientist;5-10 years;Python;Once;Under 1 year;0-49 employees;No (we do not use ML methods);$0-999;z_Not selected;z_Not selected;4;3;2;2;2;0;0;0;0;0;0;0;0;0;0;4
50-54;Professional degree;Data Scientist;20+ years;Python;2-5 times;3-4 years;0-49 employees;We recently started using ML methods (i.e., models in production for less than 2 years);150,000-199,999;MySQL ;Google Data Studio;6;4;5;5;8;5;4;2;5;4;7;3;1;3;1;2
25-29;Bachelor’s degree;Software Engineer;10-20 years;Python;Never;Under 1 year;50-249 employees;No (we do not use ML methods);30,000-39,999;z_Not selected;z_Not selected;6;4;0;1;0;0;0;0;0;0;0;0;0;0;0;1
40-44;Master’s degree;Data Scientist;3-5 years;R;2-5 times;4-5 years;250-999 employees;We recently started using ML methods (i.e., models in production for less than 2 years);25,000-29,999;z_Not selected;z_Not selected;1;1;2;2;4;0;0;0;0;0;0;0;0;0;0;4
25-29;Bachelor’s degree;Software Engineer;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22-24;Bachelor’s degree;Software Engineer;< 1 years;Python;Never;1-2 years;0-49 employees;z_Not selected;z_Not selected;z_Not selected;z_Not selected;2;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0
60-69;Master’s degree;Data Analyst;20+ years;Python;Never;1-2 years;1000-9,999 employees;We are exploring ML methods (and may one day put a model into production);$0-999;z_Not selected;z_Not selected;4;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0
25-29;Bachelor’s degree;Data Analyst;1-2 years;Python;Never;Under 1 year;0-49 employees;No (we do not use ML methods);$0-999;z_Not selected;z_Not selected;1;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0
60-69;Master’s degree;Data Scientist;20+ years;Python;More than 25 times;4-5 years;250-999 employees;We have well established ML methods (i.e., models in production for more than 2 years);40,000-49,999;z_Not selected;z_Not selected;1;1;1;3;4;3;1;1;1;1;0;0;1;0;1;4
30-34;Bachelor’s degree;Data Scientist;1-2 years;Python;Once;Under 1 year;0-49 employees;No (we do not use ML methods);3,000-3,999;z_Not selected;z_Not selected;1;2;2;4;5;2;0;0;0;0;0;0;0;0;0;4
30-34;Master’s degree;Data Scientist;< 1 years;Python;Never;Under 1 year;0-49 employees;I do not know;$0-999;Google Cloud BigQuery ;Tableau;3;1;0;2;5;0;0;0;0;0;4;2;1;0;4;2
22-24;Bachelor’s degree;Software Engineer;5-10 years;SQL;More than 25 times;3-4 years;10,000 or more employees;We have well established ML methods (i.e., models in production for more than 2 years);30,000-39,999;MySQL ;Microsoft Power BI;4;2;2;4;4;0;0;1;0;0;2;2;2;1;1;1
55-59;Doctoral degree;Data Scientist;20+ years;Python;Never;20 or more years;0-49 employees;We use ML methods for generating insights (but do not put working models into production);20,000-24,999;z_Not selected;z_Not selected;3;0;0;1;5;1;0;2;2;1;1;1;1;1;1;1
22-24;Master’s degree;Data Scientist;3-5 years;Python;2-5 times;I do not use machine learning methods;1000-9,999 employees;We are exploring ML methods (and may one day put a model into production);$0-999;z_Not selected;z_Not selected;1;1;1;0;0;0;0;1;0;0;1;1;1;1;1;2
35-39;Master’s degree;Software Engineer;10-20 years;Python;2-5 times;3-4 years;50-249 employees;We are exploring ML methods (and may one day put a model into production);10,000-14,999;MongoDB ;z_Not selected;4;2;2;6;5;0;0;0;0;0;2;1;1;1;1;3
35-39;Master’s degree;Data Scientist;10-20 years;Python;Never;2-3 years;0-49 employees;We recently started using ML methods (i.e., models in production for less than 2 years);$0-999;MySQL ;z_Not selected;5;3;2;2;2;0;0;0;0;0;3;1;1;0;1;1
30-34;Master’s degree;Software Engineer;3-5 years;Python;Never;I do not use machine learning methods;10,000 or more employees;We are exploring ML methods (and may one day put a model into production);15,000-19,999;z_Not selected;z_Not selected;1;3;1;0;0;0;0;0;0;0;1;0;1;0;1;0
30-34;Master’s degree;Data Scientist;5-10 years;Python;Never;4-5 years;50-249 employees;We recently started using ML methods (i.e., models in production for less than 2 years);80,000-89,999;z_Not selected;z_Not selected;3;3;3;6;6;1;2;1;1;0;0;0;0;0;0;0
22-24;Bachelor’s degree;Software Engineer;3-5 years;Python;Once;1-2 years;10,000 or more employees;We recently started using ML methods (i.e., models in production for less than 2 years);30,000-39,999;z_Not selected;z_Not selected;3;3;4;4;6;3;0;4;0;0;0;0;0;0;0;0
